datetime,tempmax,tempmin,temp,dew,humidity,precip,preciptype,windgust,windspeed,winddir,sealevelpressure,cloudcover,conditions,stations
2021-01-01,-8.8,-12.1,-11,-11.3,98,3,snow,,50.4,251.2,,11.7,Snow,15615099999
2021-01-02,-6.8,-11.6,-8.8,-13.3,73.2,0,,86.4,50.4,181.8,,37.5,Partially cloudy,15615099999
2021-01-03,-4.6,-8.3,-5.8,-5.9,99.1,3.2,snow,86.4,50.4,179.5,,40,"Snow, Partially cloudy",15615099999
2021-01-04,-5.1,-6.1,-5.5,-5.5,99.6,18.7,snow,122.4,57.6,156.4,,,Snow,15615099999
2021-01-05,-6.9,-11.8,-10,-10.8,93.6,5.7,snow,,36,273.5,,26.7,"Snow, Partially cloudy",15615099999
2021-01-06,-6.4,-10.9,-8,-8.6,95.8,0,,144,72,221.2,,80,Partially cloudy,15615099999
2021-01-07,-4.4,-7.1,-6,-6.2,98.4,1.3,snow,100.8,50.4,230.2,,,Snow,15615099999
2021-01-08,-2.1,-3.8,-2.8,-3,98.9,5,snow,122.4,72,220.8,,,Snow,15615099999
2021-01-09,-2.3,-3.3,-2.9,-3,98.8,1.7,snow,86.4,50.4,228.3,,,Snow,15615099999
2021-01-10,-0.8,-2.8,-1.9,-2,99.3,4.7,snow,144,86.4,241.2,,,Snow,15615099999
2021-01-11,-1.3,-3.1,-2,-2.1,99.6,6,"rain,snow",144,100.8,226.6,,,"Snow, Rain",15615099999
2021-01-12,-3.1,-9.8,-5.8,-5.9,99.3,12.5,snow,,43.2,255.3,,,"Snow, Fog",15615099999
2021-01-13,-11.4,-18.6,-14,-14,100,6.2,snow,,43.2,323.3,,,Snow,15615099999
2021-01-14,-15.8,-20.9,-18.4,-19.6,90.8,0.1,snow,72,50.4,297.5,,35,"Snow, Partially cloudy",15615099999
2021-01-15,-15.8,-21,-18.8,-20.8,84.2,0.4,snow,57.6,43.2,316.4,,40,"Snow, Partially cloudy",15615099999
2021-01-16,-17.5,-24.9,-20.3,-23,79.4,0,,,28.8,291.6,,91.7,Overcast,15615099999
2021-01-17,-23,-26.8,-24.7,-27.1,80.5,0.7,snow,,36,340,,30,"Snow, Partially cloudy",15615099999
2021-01-18,-18.5,-24.8,-21.5,-24.6,76.3,1,snow,,43.2,346.4,,20,Snow,15615099999
2021-01-19,-16.9,-20,-18.3,-20.5,83,0,,,36,357.3,,47.5,Partially cloudy,15615099999
2021-01-20,-7.6,-16.9,-11.6,-13.4,86.6,0,,64.8,43.2,344.9,,42,Partially cloudy,15615099999
2021-01-21,-8.6,-11.3,-9.6,-10.7,91.5,0,,,43.2,258.3,,76,Partially cloudy,15615099999
2021-01-22,-6.8,-8.6,-7.6,-8.5,93.3,0,,86.4,72,255.8,,95,Overcast,15615099999
2021-01-23,-6.6,-7.4,-7,-7.8,93.5,0.2,snow,122.4,86.4,199.1,,,Snow,15615099999
2021-01-24,-6.9,-9.9,-8.2,-9.2,92.3,6.9,snow,122.4,86.4,224.9,,55,"Snow, Partially cloudy",15615099999
2021-01-25,-6.4,-11.6,-9,-10.4,90,3,snow,144,100.8,233.4,,42.5,"Snow, Partially cloudy",15615099999
2021-01-26,-7.3,-13.6,-9,-10.1,91.6,0.9,snow,298.8,86.4,233.9,,,Snow,15615099999
2021-01-27,-17.5,-20.9,-19,-21.1,83.1,27.1,snow,,36,7.2,,,Snow,15615099999
2021-01-28,-16.1,-21.4,-19.7,-21.1,89.3,2,snow,72,50.4,326.7,,20,Snow,15615099999
2021-01-29,-6.8,-14.1,-9.4,-9.6,98.3,2,snow,72,50.4,290.3,,70,"Snow, Partially cloudy",15615099999
2021-01-30,-6.1,-11.1,-8.9,-9.6,94.8,9,snow,72,50.4,302.1,,30,"Snow, Partially cloudy",15615099999
2021-01-31,-4.6,-10.8,-7.1,-8.5,90.1,0,,144,86.4,211.2,,80,Partially cloudy,15615099999
2021-02-01,-4.4,-6.9,-6,-6.9,93,7.4,snow,122.4,72,212.1,,,Snow,15615099999
2021-02-02,-3.6,-6.6,-5.4,-6.1,94.5,0.4,snow,,36,224.9,,,"Snow, Fog",15615099999
2021-02-03,-4.6,-7.3,-6,-8.1,85.1,0,,,36,277.6,,28,Partially cloudy,15615099999
2021-02-04,-3.8,-5.9,-4.6,-5.9,91.4,0,,72,50.4,284.9,,23.3,Partially cloudy,15615099999
2021-02-05,-1.8,-5.1,-3.1,-9.7,61.4,0,,,50.4,288.2,,47.1,Partially cloudy,15615099999
2021-02-06,0.9,-2.1,-0.6,-6.3,65.9,0,,,50.4,273.1,,61.3,Partially cloudy,15615099999
2021-02-07,-0.1,-2.3,-1,-7.1,63.9,0,,144,122.4,243.1,,70,Partially cloudy,15615099999
2021-02-08,-2.3,-6.3,-4.5,-5.7,91.7,0.4,snow,144,144,211.4,,86.7,"Snow, Partially cloudy",15615099999
2021-02-09,-4.9,-7.3,-6.2,-7.1,93.9,1,snow,72,64.8,230.3,,,"Snow, Fog",15615099999
2021-02-10,-6.8,-7.8,-7.2,-8.1,93.3,0.2,snow,57.6,50.4,270,,80,"Snow, Partially cloudy",15615099999
2021-02-11,-4.6,-4.6,-4.6,-5.1,96.3,0,,144,122.4,230,,,Clear,15615099999
2021-02-12,,,,,,,,,0,,,,,
2021-02-13,-12.6,-14.3,-13.6,-13.6,100,0.2,snow,100.8,72,230,,,Snow,15615099999
2021-02-14,-16.3,-24.8,-20.9,-21,99.1,8.8,snow,,43.2,104.3,,,Snow,15615099999
2021-02-15,-21.5,-24.6,-22.9,-23.8,93.1,14.2,snow,,28.8,39.4,,,Snow,15615099999
2021-02-16,-17.4,-23.8,-21.1,-24.1,78.7,12.4,snow,,50.4,37.1,,33.3,"Snow, Partially cloudy",15615099999
2021-02-17,-10.4,-16.6,-13.1,-15.6,82.9,0.2,snow,,43.2,5.9,,50,"Snow, Partially cloudy",15615099999
2021-02-18,-11.8,-12.9,-12.3,-12.5,98.9,31.4,snow,,50.4,330.8,,,Snow,15615099999
2021-02-19,-9.8,-12.9,-12,-13.5,89.3,0.4,snow,,50.4,344.7,,55,"Snow, Partially cloudy",15615099999
2021-02-20,,,,,,,,,0,,,,,
2021-02-21,-3.8,-4.8,-4.1,-13.4,48.7,0,,,28.8,216.9,,55,Partially cloudy,15615099999
2021-02-22,0.6,-2.1,-0.5,-8,58.6,0,,,28.8,40.7,,41.7,Partially cloudy,15615099999
2021-02-23,0.9,-0.6,0,-9.6,49.3,0,,,36,20.7,,,Clear,15615099999
2021-02-24,-0.9,-6.1,-2.6,-11.4,52.3,0,,,43.2,33.7,,73.3,Partially cloudy,15615099999
2021-02-25,0.7,-6.6,-2.6,-6.7,75.5,0.1,snow,,43.2,55.4,,50,"Snow, Partially cloudy",15615099999
2021-02-26,1.9,-1.4,0.3,-7.9,55.7,0,,,21.6,5.7,,10,Clear,15615099999
2021-02-27,-1.8,-7.9,-3.7,-9.5,67.2,0,,,21.6,338.9,,26.7,Partially cloudy,15615099999
2021-02-28,-8.9,-11.1,-10.2,-16.4,64.3,0,,,36,345.7,,25,Partially cloudy,15615099999
2021-03-01,-10.3,-14.3,-11.7,-17.1,68.2,3,snow,,36,346.6,,45,"Snow, Partially cloudy",15615099999
2021-03-02,-9.9,-15.1,-12.6,-16.2,76.5,1,snow,86.4,43.2,26.8,,30,"Snow, Partially cloudy",15615099999
2021-03-03,-3.6,-8.6,-5.6,-14.5,50.4,0,,64.8,43.2,56.3,,,Clear,15615099999
2021-03-04,-1.1,-5.3,-3.6,-14.9,41.4,0,,,36,328.2,,7.5,Clear,15615099999
2021-03-05,-3.8,-7.6,-5.3,-14.4,51.2,0,,,36,270.6,,41.4,Partially cloudy,15615099999
2021-03-06,-6.9,-11.9,-9.4,-10.3,93.3,0.3,snow,,50.4,261.3,,85,"Snow, Partially cloudy",15615099999
2021-03-07,-9.6,-15.1,-12.2,-18.1,66.7,0,,,36,302.6,,10,Clear,15615099999
2021-03-08,-9.3,-13.3,-11.4,-11.9,95.9,0.1,snow,64.8,50.4,292.2,,30,"Snow, Partially cloudy",15615099999
2021-03-09,-7.6,-13.3,-9.7,-9.7,99.7,1.2,snow,,50.4,249.4,,55,"Snow, Partially cloudy",15615099999
2021-03-10,-4.9,-8.9,-6.8,-6.8,100,1.6,snow,72,50.4,240.8,,,Snow,15615099999
2021-03-11,-7.3,-15.3,-12,-13.5,89.2,1,snow,,36,22.5,,23.3,"Snow, Partially cloudy",15615099999
2021-03-12,-3.6,-7.6,-6.2,-10.9,75.8,0,,,36,308.9,,64,Partially cloudy,15615099999
2021-03-13,-5.1,-7.9,-6.2,-6.3,99.1,0,,,28.8,299.1,,55,Partially cloudy,15615099999
2021-03-14,-3.4,-8.3,-6.1,-8.6,84.1,0,,,36,239.6,,40,Partially cloudy,15615099999
2021-03-15,-5.8,-12.6,-8.4,-8.4,99.5,0.7,snow,,43.2,214,,,Snow,15615099999
2021-03-16,-12.9,-14.6,-14,-14.2,99,15.4,snow,,50.4,322.5,,,Snow,15615099999
